Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-03-31,601.35,610.5,582.0,606.7,601.6,3083.0,279.0,1854720.0,1768.0,57.35,28.5,5.35
2016-03-30,590.0,603.0,590.0,599.8,598.07,1666.0,112.0,996384.0,1305.0,78.33,13.0,9.8
2016-03-29,581.1,589.0,581.0,584.4,586.21,1502.0,48.0,880492.0,1364.0,90.81,8.0,3.3
2016-03-28,590.0,592.0,561.0,575.15,579.26,2536.0,168.0,1469003.0,1452.0,57.26,31.0,-14.85
2016-03-23,590.0,591.5,583.35,585.5,586.18,288.0,24.0,168819.0,177.0,61.46,8.15,-4.5
2016-03-22,586.5,595.1,579.8,590.8,587.1,2054.0,237.0,1205901.0,1082.0,52.68,15.3,4.3
2016-03-21,580.0,595.0,575.0,582.8,582.56,807.0,71.0,470125.0,516.0,63.94,20.0,2.8
2016-03-18,581.45,587.6,571.05,575.3,576.15,2627.0,216.0,1513546.0,1911.0,72.74,16.55,-6.15
2016-03-17,604.45,617.95,577.05,581.75,589.59,2448.0,194.0,1443318.0,1156.0,47.22,40.9,-22.7
2016-03-16,589.75,610.0,589.25,596.45,593.06,497.0,54.0,294753.0,330.0,66.4,20.75,6.7
2016-03-15,602.55,610.0,586.35,588.6,594.31,793.0,74.0,471285.0,483.0,60.91,23.65,-13.95
2016-03-14,590.0,607.55,587.5,600.6,597.37,4560.0,428.0,2723992.0,2758.0,60.48,20.05,10.6
2016-03-11,572.0,589.95,561.5,579.85,574.34,1167.0,148.0,670259.0,783.0,67.1,28.45,7.85
2016-03-10,582.5,584.5,564.0,570.45,572.62,3432.0,353.0,1965224.0,1893.0,55.16,20.5,-12.05
2016-03-09,580.0,583.0,574.05,578.75,578.56,1233.0,116.0,713366.0,662.0,53.69,8.95,-1.25
2016-03-08,578.05,589.85,576.0,586.75,583.76,1308.0,138.0,763554.0,735.0,56.19,13.85,8.7
2016-03-04,589.0,590.0,566.0,575.4,573.39,855.0,96.0,490248.0,406.0,47.49,24.0,-13.6
